"","x"
"1",-2.97422817216419
"2",-1.22835199740282
"3",1.67330091462828
"4",3.82411402287894
"5",3.03072144332734
"6",0.524178886282204
"7",-1.09751594738868
"8",-1.90886828938602
"9",-4.79267877817699
"10",-4.47238424695652
"11",-3.64453292965363
"12",-3.8423874648411
"13",-0.976330862126523
"14",2.08365633068659
"15",4.27128671710988
"16",4.56248603494218
"17",1.73985473523123
"18",-0.544984984449095
"19",-2.3548636337272
"20",-4.45930498258626
"21",-3.64321652835748
"22",-0.752299216101234
"23",1.79305610810495
"24",2.21412839010286
"25",2.10879278389613
"26",1.45930020905831
"27",0.412125834117731
"28",-0.718174403347478
"29",-1.33466700267132
"30",-0.688705546409854
"31",-0.124623319855963
"32",-0.101902849080119
"33",-1.88146419188166
"34",-3.15863682776459
"35",-1.10513987868263
"36",2.1221615750067
"37",1.07345627058126
"38",0.933971135217857
"39",-0.412531892794032
"40",1.92063737238632
"41",1.97360861656633
"42",-0.0156815058491611
"43",0.650036464159768
"44",-0.551411618746803
"45",0.366278161965357
"46",-0.294655834884909
"47",1.65982309857349
"48",4.04128434437153
"49",2.60147659028468
"50",-0.52788504444918
"51",-3.36480226436954
"52",-2.00724274539098
"53",-1.85333008494566
"54",1.09000569727582
"55",2.35959102701041
"56",1.2836957418828
"57",0.786010223248946
"58",-0.467827251308421
"59",-1.90031441088487
"60",-0.182851143026724
"61",-0.473374731243971
"62",-1.75653928960777
"63",-1.32247091003163
"64",0.508930714976377
"65",1.17726061883585
"66",1.20768465662366
"67",0.982464318948048
"68",-0.40146233542368
"69",-1.84686243110293
"70",-1.63756108382743
"71",-0.356788575892726
"72",0.73360557653814
"73",2.12090302273246
"74",2.1945359358328
"75",1.3057462081768
"76",-0.0796809808391221
"77",-0.147263215451637
"78",0.169110875784892
"79",0.616901690109604
"80",1.40772409087669
"81",-0.660595677803159
"82",0.191475109485159
"83",-0.452249567508885
"84",-2.041697132459
"85",-0.613706073559942
"86",0.140874191158743
"87",1.29756594576913
"88",0.417866046528473
"89",-0.0505653152287112
"90",0.765549237349678
"91",0.827435195460081
"92",1.04980936534023
"93",1.65031934096853
"94",0.548981676907856
"95",0.385170643264859
"96",-0.0752401734201093
"97",-0.536094742779774
"98",0.411202135568457
"99",-0.516791307486837
"100",-2.40803996043801
"101",-2.54885997187775
"102",0.286498606801943
"103",0.502893314734976
"104",0.24964874607162
"105",-0.124497336794377
"106",-1.26430197630016
"107",0.84417079677062
"108",1.60882483676953
"109",1.69674011549202
"110",0.169509424773835
"111",-1.31672068397106
"112",0.43858036176184
"113",0.859754599772132
"114",1.42327735514813
"115",0.603753090662518
"116",0.27727048275232
"117",1.22890350825644
"118",1.2607078969554
"119",0.500385244860537
"120",0.528761628314567
"121",0.108298690776131
"122",-0.5698280251407
"123",0.122504746337079
"124",0.941301000468757
"125",0.527347843365183
"126",-1.63436537778586
"127",-1.79200703371667
"128",-1.12449687284748
"129",-0.44607024437256
"130",0.203709559537801
"131",1.98277233845515
"132",1.72903183531137
"133",0.497968923750539
"134",0.344341242619541
"135",0.648701261045995
"136",0.618131777436912
"137",-1.4135554465364
"138",-0.798669476716068
"139",-0.206259757941728
"140",-0.215071233008867
"141",-1.07540383412022
"142",0.643720174268898
"143",0.806444933241798
"144",-0.0768067202066692
"145",-0.414646562780146
"146",0.643649390690488
"147",-0.170828856796365
"148",-0.382002828376186
"149",1.50847791236515
"150",3.00150989480983
"151",2.1956988571048
"152",1.0544948767109
"153",-0.135615557821276
"154",-0.834709139898192
"155",-0.859264328864609
"156",-0.730596505523482
"157",0.0725706173211762
"158",1.76017797515645
"159",1.86256896899112
"160",1.2594870805611
"161",-0.596550430021412
"162",-0.228688698272982
"163",-1.65512306911121
"164",-1.10799226318676
"165",-1.96701620435106
"166",-1.1413041993259
"167",1.78073646366155
"168",3.438764458416
"169",2.07150873622089
"170",-0.200079221996866
"171",-2.88980638107506
"172",-2.5760598096153
"173",-1.77520994855555
"174",-1.05920278288848
"175",-1.8149085474543
"176",-1.06851306854847
"177",-0.428835662404001
"178",-0.406244896094875
"179",0.415233285427127
"180",0.265662869190669
"181",-0.0978557385658738
"182",0.580449574214223
"183",0.53221221695836
"184",-0.244928316805725
"185",-1.10494866586417
"186",-2.10303079971924
"187",-0.134437673883122
"188",1.06254153762086
"189",0.838477493691887
"190",1.22758018323718
"191",1.04770361774194
"192",0.203722864944077
"193",1.01954735076652
"194",0.00878142037838889
"195",-1.04959712036056
"196",-2.74739785065412
"197",-4.40584436108688
"198",-3.31831790861093
"199",-1.17300730224962
"200",-0.465088143914516
"201",1.48424816911044
"202",4.51088976066272
"203",2.41563940076787
"204",-0.0408022163407728
"205",-1.97248153507083
"206",-2.29859608093658
"207",-2.19329385986391
"208",-0.0909272684674372
"209",1.78425272627015
"210",0.534270617447186
"211",-0.942874955832698
"212",-0.994340344751735
"213",-0.188791998505462
"214",1.09672601801168
"215",0.834243231003952
"216",0.537159548124276
"217",-0.528952250718455
"218",0.0717649867349037
"219",-0.0916776270457106
"220",0.423722729511215
"221",0.625429634555543
"222",0.47561335545375
"223",1.62338306441329
"224",3.03875956231735
"225",1.48524578371253
"226",0.469780930655996
"227",1.23563847890354
"228",0.3135849161882
"229",-0.279231502730349
"230",-0.496389162483644
"231",-1.87482030688681
"232",-1.5181326990185
"233",-2.65816726477234
"234",-0.820942120303403
"235",2.02826223096924
"236",3.6271827281824
"237",1.1752416412572
"238",-0.714532580334651
"239",0.388728917480347
"240",-0.616828400516139
"241",-1.33422316643225
"242",-2.25405593886276
"243",-1.44198414422268
"244",-0.0621728403579826
"245",1.3102173521179
"246",3.10282192237747
"247",2.61834263175051
"248",0.455177053558623
"249",-2.63465600948753
"250",-3.50790641008816
"251",-2.39142759890565
"252",-0.100982843178403
